contractSymbol,lastTradeDate,strike,lastPrice,call_bid,call_ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,ticker,S0,call_mid,bid_ask_spread,spread_percent,current_date,moneyness,K,S0,T,r,q
AAPL260209C00267500,2026-02-06 20:59:51+00:00,267.5,10.71,10.15,11.65,1.5200005,16.539722,2079.0,626,0.45313046875,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,10.9,1.5,13.761467889908257,2026-02-07 14:19:51.204281,ITM,267.5,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00270000,2026-02-06 20:58:02+00:00,270.0,8.46,7.75,8.7,1.46,20.857143,683.0,1466,0.3103096313476562,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,8.225,0.9499999999999993,11.550151975683882,2026-02-07 14:19:51.204281,ITM,270.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00272500,2026-02-06 20:57:05+00:00,272.5,6.17,5.65,6.0,0.9200001,17.52381,751.0,1490,0.20996883789062498,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,5.825,0.34999999999999964,6.008583690987118,2026-02-07 14:19:51.204281,ITM,272.5,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00275000,2026-02-06 20:59:24+00:00,275.0,3.74,3.55,3.7,0.37000012,10.979232,2350.0,2036,0.17041845214843754,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,3.625,0.15000000000000036,4.137931034482769,2026-02-07 14:19:51.204281,ITM,275.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00277500,2026-02-06 20:59:54+00:00,277.5,2.01,1.94,2.0,-0.089999914,-4.2857103,15747.0,2605,0.1662681030273438,True,REGULAR,USD,call,2026-02-09,AAPL,278.12,1.97,0.06000000000000005,3.04568527918782,2026-02-07 14:19:51.204281,ITM,277.5,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00280000,2026-02-06 20:59:56+00:00,280.0,0.91,0.87,0.9,-0.28000003,-23.529413,37984.0,12820,0.16602396484375004,False,REGULAR,USD,call,2026-02-09,AAPL,278.12,0.885,0.030000000000000027,3.3898305084745792,2026-02-07 14:19:51.204281,OTM,280.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00282500,2026-02-06 20:59:59+00:00,282.5,0.36,0.35,0.37,-0.25,-40.983604,20614.0,3400,0.17310397216796874,False,REGULAR,USD,call,2026-02-09,AAPL,278.12,0.36,0.020000000000000018,5.555555555555561,2026-02-07 14:19:51.204281,OTM,282.5,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00285000,2026-02-06 20:59:51+00:00,285.0,0.15,0.13,0.15,-0.16,-51.6129,11902.0,3288,0.1840901904296875,False,REGULAR,USD,call,2026-02-09,AAPL,278.12,0.14,0.01999999999999999,14.285714285714276,2026-02-07 14:19:51.204281,OTM,285.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00287500,2026-02-06 20:58:44+00:00,287.5,0.07,0.06,0.07,-0.080000006,-53.333336,3733.0,1752,0.20117986328124998,False,REGULAR,USD,call,2026-02-09,AAPL,278.12,0.065,0.010000000000000009,15.384615384615397,2026-02-07 14:19:51.204281,OTM,287.5,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00290000,2026-02-06 20:59:14+00:00,290.0,0.02,0.01,0.03,-0.05,-71.42857,4576.0,1377,0.21289849609375,False,REGULAR,USD,call,2026-02-09,AAPL,278.12,0.02,0.019999999999999997,99.99999999999997,2026-02-07 14:19:51.204281,OTM,290.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00295000,2026-02-06 20:19:55+00:00,295.0,0.01,0.0,0.01,-0.01,-50.0,934.0,1084,0.2500075,False,REGULAR,USD,call,2026-02-09,AAPL,278.12,0.005,0.01,200.0,2026-02-07 14:19:51.204281,OTM,295.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00300000,2026-02-06 20:11:37+00:00,300.0,0.01,0.0,0.01,0.0,0.0,417.0,2267,0.31250687499999996,False,REGULAR,USD,call,2026-02-09,AAPL,278.12,0.005,0.01,200.0,2026-02-07 14:19:51.204281,OTM,300.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00305000,2026-02-06 18:04:43+00:00,305.0,0.01,0.0,0.01,-0.01,-50.0,1.0,1625,0.37500625,False,REGULAR,USD,call,2026-02-09,AAPL,278.12,0.005,0.01,200.0,2026-02-07 14:19:51.204281,OTM,305.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260209C00310000,2026-02-04 20:03:00+00:00,310.0,0.01,0.0,0.22,0.0,0.0,103.0,108,0.5800823242187501,False,REGULAR,USD,call,2026-02-09,AAPL,278.12,0.11,0.22,200.0,2026-02-07 14:19:51.204281,OTM,310.0,278.12,0.0027397260273972603,0.045,0.37
AAPL260211C00185000,2026-01-30 15:12:47+00:00,185.0,72.25,91.8,95.05,0.0,0.0,1.0,1,1.67578287109375,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,93.425,3.25,3.4787262510034793,2026-02-07 14:19:51.339989,ITM,185.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00225000,2026-02-04 20:49:40+00:00,225.0,53.25,51.95,55.05,0.0,0.0,2.0,2,0.9882813671875,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,53.5,3.0999999999999943,5.7943925233644755,2026-02-07 14:19:51.339989,ITM,225.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00230000,2026-02-05 20:04:24+00:00,230.0,47.9,46.95,50.05,0.80000305,1.6985204,6.0,19,0.901368173828125,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,48.5,3.0999999999999943,6.391752577319576,2026-02-07 14:19:51.339989,ITM,230.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00235000,2026-02-04 20:54:59+00:00,235.0,42.15,41.7,45.05,0.0,0.0,3.0,4,0.7597680273437502,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,43.375,3.3499999999999943,7.723342939481255,2026-02-07 14:19:51.339989,ITM,235.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00237500,2026-01-30 15:51:07+00:00,237.5,18.25,38.95,42.55,0.0,0.0,17.0,16,0.64648791015625,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,40.75,3.5999999999999943,8.834355828220845,2026-02-07 14:19:51.339989,ITM,237.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00240000,2026-02-06 19:19:56+00:00,240.0,37.89,36.95,40.05,14.139999,59.53684,1.0,6,0.7304714453125,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,38.5,3.0999999999999943,8.051948051948036,2026-02-07 14:19:51.339989,ITM,240.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00242500,2026-02-02 15:37:21+00:00,242.5,22.2,34.25,37.55,0.0,0.0,2.0,7,0.649417568359375,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,35.9,3.299999999999997,9.192200557103057,2026-02-07 14:19:51.339989,ITM,242.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00245000,2026-02-06 20:42:54+00:00,245.0,34.0,32.3,34.3,10.799999,46.55172,246.0,62,0.5634809277343751,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,33.3,2.0,6.0060060060060065,2026-02-07 14:19:51.339989,ITM,245.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00247500,2026-02-06 19:26:42+00:00,247.5,29.45,29.85,31.8,5.050001,20.696726,52.0,25,0.5371140039062501,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,30.825000000000003,1.9499999999999993,6.326034063260337,2026-02-07 14:19:51.339989,ITM,247.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00250000,2026-02-06 20:43:08+00:00,250.0,27.3,27.45,29.2,2.8199997,11.519608,337.0,78,0.7182645361328125,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,28.325,1.75,6.17828773168579,2026-02-07 14:19:51.339989,ITM,250.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00252500,2026-02-06 20:42:54+00:00,252.5,25.75,24.75,26.85,7.450001,40.71039,990.0,247,0.6936065795898438,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,25.8,2.1000000000000014,8.139534883720936,2026-02-07 14:19:51.339989,ITM,252.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00255000,2026-02-06 15:13:14+00:00,255.0,24.52,22.55,25.05,3.3199997,15.660376,1.0,894,0.5451705639648439,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,23.8,2.5,10.504201680672269,2026-02-07 14:19:51.339989,ITM,255.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00257500,2026-02-06 18:06:45+00:00,257.5,20.92,19.45,22.55,2.8700008,15.900283,14.0,238,0.6857941577148439,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,21.0,3.1000000000000014,14.761904761904768,2026-02-07 14:19:51.339989,ITM,257.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00260000,2026-02-06 18:28:51+00:00,260.0,17.75,16.85,19.0,0.94000053,5.5919127,7.0,351,0.48511257080078124,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,17.925,2.1499999999999986,11.994421199442112,2026-02-07 14:19:51.339989,ITM,260.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00262500,2026-02-06 20:38:09+00:00,262.5,15.3,14.45,17.15,0.84000015,5.8091297,7.0,235,0.5229539892578124,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,15.799999999999999,2.6999999999999993,17.088607594936704,2026-02-07 14:19:51.339989,ITM,262.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00265000,2026-02-06 20:52:16+00:00,265.0,13.7,12.7,13.65,1.3699999,11.111111,16.0,259,0.33008482421874996,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,13.175,0.9500000000000011,7.210626185958262,2026-02-07 14:19:51.339989,ITM,265.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00267500,2026-02-06 20:49:46+00:00,267.5,11.52,10.8,11.1,1.8200006,18.762894,287.0,375,0.274421318359375,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,10.95,0.29999999999999893,2.739726027397251,2026-02-07 14:19:51.339989,ITM,267.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00270000,2026-02-06 20:53:49+00:00,270.0,9.37,8.55,8.8,1.5699997,20.1282,495.0,929,0.2536695727539063,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,8.675,0.25,2.881844380403458,2026-02-07 14:19:51.339989,ITM,270.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00272500,2026-02-06 20:53:40+00:00,272.5,6.95,6.4,6.6,0.9499998,15.83333,412.0,1105,0.23218541259765624,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,6.5,0.1999999999999993,3.076923076923066,2026-02-07 14:19:51.339989,ITM,272.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00275000,2026-02-06 20:53:51+00:00,275.0,5.05,4.6,4.7,0.6000004,13.483154,973.0,1103,0.22266402343749997,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,4.65,0.10000000000000053,2.1505376344086136,2026-02-07 14:19:51.339989,ITM,275.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00277500,2026-02-06 20:59:32+00:00,277.5,3.3,3.1,3.2,0.20000005,6.451615,2343.0,807,0.2219316088867187,True,REGULAR,USD,call,2026-02-11,AAPL,278.12,3.1500000000000004,0.10000000000000009,3.174603174603177,2026-02-07 14:19:51.339989,ITM,277.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00280000,2026-02-06 20:59:53+00:00,280.0,1.98,1.91,1.97,-0.13999987,-6.603768,6474.0,953,0.2157060852050781,False,REGULAR,USD,call,2026-02-11,AAPL,278.12,1.94,0.06000000000000005,3.092783505154642,2026-02-07 14:19:51.339989,OTM,280.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00282500,2026-02-06 20:59:47+00:00,282.5,1.17,1.09,1.14,-0.1500001,-11.363644,3799.0,1208,0.21411918701171873,False,REGULAR,USD,call,2026-02-11,AAPL,278.12,1.115,0.04999999999999982,4.48430493273541,2026-02-07 14:19:51.339989,OTM,282.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00285000,2026-02-06 20:59:32+00:00,285.0,0.62,0.6,0.63,-0.19999999,-24.390244,2601.0,932,0.215828154296875,False,REGULAR,USD,call,2026-02-11,AAPL,278.12,0.615,0.030000000000000027,4.878048780487809,2026-02-07 14:19:51.339989,OTM,285.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00287500,2026-02-06 20:59:23+00:00,287.5,0.35,0.33,0.35,-0.120000005,-25.531916,774.0,443,0.22168747070312497,False,REGULAR,USD,call,2026-02-11,AAPL,278.12,0.33999999999999997,0.019999999999999962,5.88235294117646,2026-02-07 14:19:51.339989,OTM,287.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00290000,2026-02-06 20:55:11+00:00,290.0,0.2,0.19,0.2,-0.08,-28.571426,2045.0,658,0.2304764453125,False,REGULAR,USD,call,2026-02-11,AAPL,278.12,0.195,0.010000000000000009,5.128205128205133,2026-02-07 14:19:51.339989,OTM,290.0,278.12,0.00821917808219178,0.045,0.37
